,Unnamed: 0,course_id,title,topics,about,instructors,language,metrics,product_glance,average_score,ratings_count,reviews_count,skills,syllabus,recommendations,url
622,622,finansovye-rynki,Финансовые рынки и институты (Financial Markets and Institutions),"['Social Sciences', 'Economics']","В рамках данного курса рассматриваются основные вопросы функционирования финансовых рынков, деятельности финансовых институтов, изучаются финансовые инструменты, с которыми приходится сталкиваться человеку в своей жизни. Помимо этого, раскрываются базовые принципы инвестирования свободных средств на финансовом рынке, основы проведения финансовых вычислений.

В настоящее время финансовый рынок активно используется компаниями, регионами и государством для привлечения финансовых ресурсов, обеспечивающих реализацию инвестиционных проектов. Однако востребован финансовый рынок не только со стороны финансовых институтов, но и частных инвесторов, которые используют его для размещения временно свободных денежных средств с целью получения дохода на вложенный капитал. Изучение курса позволит слушателю лучше ориентироваться в современном финансовом мире, понимать причины финансовых кризисов, роль процессов глобализации и секьюритизации финансовых рынков, возможности финансовой инженерии.

Финальная оценка за курс основана на 9 тестах, выполняемых в конце каждой недели. Курс считается пройденным при успешной сдаче всех тестов.
Каких-либо специальных знаний в области финансов и фондовых рынков для освоения курса не требуется.",['Берзон Николай Иосифович'],Russian,"['29,192 already enrolled!', '23,841 recent views']","['100% online', 'Flexible deadlines', 'Approx. 26 hours to complete', 'Russian']",4.900000095367432,146,146,[],"['Организация и структура финансового рынка.', 'Секьюритизация и глобализация финансовых рынков.', 'Риск и доходность.', 'Рынок долгового капитала. Облигации.']","['economy-russia-transition', 'economics-transition-emerging-markets']",https://www.coursera.org/learn/finansovye-rynki
633,633,fizika-v-opitah-elektrichestvo-i-magnetizm,Физика в опытах. Часть 2. Электричество и магнетизм,"['Physical Science and Engineering', 'Physics and Astronomy']","Наглядно – интересно – просто – понятно!
Данный курс представляет собой серию физических опытов и экспериментов. Демонстрацию физических явлений проводит незаурядный преподаватель, доцент кафедры общей физики НИЯУ «МИФИ» — Валериан Иванович Гервидс, глубокие знания и огромный преподавательский опыт которого делает курс «Физика в опытах. Электричество и магнетизм» уникальным.
Курс состоит из девяти модулей по основным разделам: Электрическое поле, Проводники в электрическом поле, Энергия электрического поля, Постоянный электрический ток, Магнитное поле, Магнитное поле в веществе, Электромагнитная индукция, Квазистационарные токи, Электрический ток в газах. В его основе этого курса лежат 64 опыта, в которых объясняются различные физические явления.

Зачем изучать этот курс?
• Физика – наука экспериментальная. Лучше один раз увидеть, чем сто раз услышать или прочитать! 
• Именно эксперименты позволяют продемонстрировать и легко понять и простые, и сложные аспекты, которые традиционно преподаются в виде теоретического материала и математических моделей
• Курс поможет Вам научиться использовать: 
   o эксперимент как способ постановки вопроса, 
   o эксперимент как инструмент изучения физического явления
   o эксперимент как  форму ответа на вопрос
• Очень часто достаточно «простые» физические вопросы имеют неожиданные ответы, которые зависят от конкретных условий проведения эксперимента. Демонстрация таких опытов и объяснение полученных в них результатов могут оказаться чрезвычайно интересными
• Вы сможете увидеть применение изучаемых физических явлений в жизни, в технике и в быту
• Изучая этот курс, вы восполните нехватку времени на экспериментальную, «живую» физику, которая ощущается в обычном учебном процесс

Чему учит этот курс?
• Пониманию широкого круга как простых, так и сложных физических явлений и процессов по тематике соответствующих разделов
• Применению физических закономерностей для анализа различных физических явлений и процессов 
• Навыкам  использования эксперимента
• Базовым знаниям по физике будущих инженеров и специалистов в различных областях деятельности.

Для кого этот курс?
• Для тех, кто изучает физику, и хочет прояснить для себя различные вопросы (в школе, в вузе)
• Для тех, кто преподает физику (в школе, в вузе)
• Для тех, кто использует физику в своем рабочем процессе (инженеры, программисты и т.д.)
• Для тех, кому это просто интересно","['Панебратцев Юрий Анатольевич', 'Калашников Николай Павлович', 'Клячин Николай Альбертович ', 'Гервидс Валериан Иванович']",Russian,"['4,339 already enrolled!', '5,829 recent views']","['100% online', 'Flexible deadlines', 'Approx. 7 hours to complete', 'Russian']",4.800000190734863,13,13,[],"['Электрическое поле', 'Проводники в электрическом поле', 'Энергия электрического поля', 'Постоянный электрический ток', 'Магнитное поле', 'Магнитное поле в веществе']","['drugs-and-brain', 'how-things-work']",https://www.coursera.org/learn/fizika-v-opitah-elektrichestvo-i-magnetizm
634,634,fizika-v-opitah-mehanika,Физика в опытах. Часть 1. Механика,"['Physical Science and Engineering', 'Physics and Astronomy']","Наглядно – интересно – просто – понятно!
Данный курс представляет собой серию физических опытов, наглядно демонстрирующих работу основных законов механики. Демонстрацию физических явлений проводит незаурядный преподаватель, доцент кафедры общей физики НИЯУ «МИФИ» — Валериан Иванович Гервидс, который доступно и наглядно объясняет основные принципы и законы движения материальных тел и их взаимодействие. 

Зачем учить этот курс?
• Физика – наука экспериментальная. Лучше один раз увидеть, чем сто раз услышать или прочитать! 
• Именно эксперименты позволяют продемонстрировать и легко понять и простые, и сложные аспекты, которые традиционно преподаются в виде теоретического материала и математических моделей
• Курс поможет Вам научиться использовать: 
   o эксперимент как способ постановки вопроса, 
   o эксперимент как инструмент изучения физического явления
   o эксперимент как  форму ответа на вопрос
• Очень часто достаточно «простые» физические вопросы имеют неожиданные ответы, которые зависят от конкретных условий проведения эксперимента. Демонстрация таких опытов и объяснение полученных в них результатов могут оказаться чрезвычайно интересными
• Вы сможете увидеть применение изучаемых физических явлений в жизни, в технике и в быту
• Изучая этот курс, вы восполните нехватку времени на экспериментальную, «живую» физику, которая ощущается в обычном учебном процесс

Чему учит этот курс?
• Пониманию широкого круга как простых, так и сложных физических явлений и процессов по тематике соответствующих разделов
• Применению физических закономерностей для анализа различных физических явлений и процессов 
• Навыкам  использования эксперимента
• Базовым знаниям по физике будущих инженеров и специалистов в различных областях деятельности.

Для кого этот курс?
• Для тех, кто изучает физику, и хочет прояснить для себя различные вопросы (в школе, в вузе)
• Для тех, кто преподает физику (в школе, в вузе)
• Для тех, кто использует физику в своем рабочем процессе (инженеры, программисты и т.д.)
• Для тех, кому это просто интересно","['Панебратцев Юрий Анатольевич', 'Клячин Николай Альбертович ', 'Калашников Николай Павлович', 'Гервидс Валериан Иванович']",Russian,"['8,710 already enrolled!', '3,467 recent views']","['100% online', 'Flexible deadlines', 'Approx. 8 hours to complete', 'Russian']",4.699999809265137,13,13,[],"['Кинематика', 'Динамика материальной точки', 'Законы сохранения', 'Неинерциальные системы отсчета']","['how-things-work', 'drugs-and-brain']",https://www.coursera.org/learn/fizika-v-opitah-mehanika
666,666,game-theory,Теория игр (Game Theory),"['Math and Logic', 'Math and Logic']","В течение жизни мы постоянно взаимодействуем с другими людьми. Маленькие дети, пытаясь добиться того, чтобы родители купили понравившуюся конфетку, часто шантажируют родителей своими слезами. Принимая решение заплакать, ребенок рискует — он не знает, как поведут себя папа с мамой. В чуть более взрослом возрасте абитуриенты, выбирающие вуз, принимают сложное решение о том, в какие университеты подать документы. Ошибка может стоить дорого: при неправильной стратегии можно оказаться в слабом университете или вообще остаться без заветного студенческого билета. Окончив вуз, юноши и девушки начинают искать работу. Перед интервью с работодателем они штудируют статьи в интернете о том, что можно и чего нельзя говорить на интервью, — они пытаются найти наилучшую стратегию своего поведения, исходя из ожиданий компании, в которую они устраиваются. Все эти ситуации объединяет то, что решения, которые принимают одни люди, оказывают влияние на других людей. Такие взаимодействия называются стратегическими. Именно их изучает теория игр.

Чтобы проанализировать ту или иную реальную жизненную ситуацию стратегического взаимодействия и найти оптимальный вариант поведения в ней, необходимо сделать две вещи. Во-первых, необходимо формально записать ситуацию на языке теории игр, то есть создать модель (игру). Во-вторых, после того как модель (игра) составлена, ее необходимо решить. Этому мы будем учиться в течение курса. Мы разберем основные виды игр (одновременные и последовательные, с совершенной и несовершенной информацией, коалиционные и некоалиционные), приведем способы их решения и обсудим их на многочисленных примерах.

Курс будет интересен желающим разобраться в том, как конкурируют друг с другом несколько компаний и можно ли гарантированно выиграть в шашки, есть ли смысл угрожать на переговорах и с кем стоит объединяться в коалиции в парламенте.

FAQ

В: Требуется ли предварительная подготовка для прохождения курса?
О: Курс является базовым, поэтому он не требует специальной подготовки. Для его успешного освоения достаточно уверенных знаний курса математики в объеме школьной программы. В одном-двух примерах могут пригодиться знания начал математического анализа (дифференцирование функций одной переменной, необходимое условие экстремума) и знания начал теории вероятностей (понятие математического ожидания случайной величины).

В: Что требуется для успешного окончания курса?
О: Итоговая оценка за курс складывается из результатов 10 оцениваемых тестов. Для успешного окончания курса необходимо дать не менее 80 % правильных ответов на каждый из этих тестов.",['Dmitry Dagaev'],Russian,"['37,469 already enrolled!', '20,079 recent views']","['100% online', 'Flexible deadlines', 'Approx. 27 hours to complete', 'Russian']",4.800000190734863,89,89,[],"['Стратегические взаимодействия', 'Доминирующие и доминируемые стратегии', 'Равновесие Нэша', 'Модель Хотеллинга — Даунса и модель Курно']","['economy-russia-transition', 'galois']",https://www.coursera.org/learn/game-theory
675,675,gametheory,Теория игр,"['Social Sciences', 'Economics']","Разработанный МФТИ курс отличается тем, что все основные конструкции и принципы теории вводятся непосредственно на основе разбираемых ""с нуля"" конкретных этюдов.

Каждый этюд начинается с понятной непрофессионалу проблемы. В одних случаях это просто ""детская игра"", в других - формализованное жизненное наблюдение, в третьих - обобщённая социальная закономерность. Сюжет затем разворачивается, исходя из логики содержащегося в нём конфликта, и сам порождает тот или иной принцип разрешения конфликта, который окончательно строго формализуется в виде решения игры.

Этюдов всего рассмотрено чуть более десяти, и они в совокупности покрывают основные формальные конструкции базовой теории игр.

В нескольких отступлениях приведены формулировки теорем существования игровых решений с набросками доказательств.",['Дмитрий Ильинский'],Russian,"['7,823 already enrolled!', '4,469 recent views']","['100% online', 'Flexible deadlines', 'Intermediate Level', 'Approx. 35 hours to complete', 'Russian']",0.0,0,0,[],"['Равновесия Нэша', 'Смешанные равновесия', 'Динамическая теория игр', 'Случайность и неполная информация']","['enumerative-combinatorics', 'galois']",https://www.coursera.org/learn/gametheory
734,734,gmo,ГМО: технологии создания и применение,"['Health', 'Nutrition']","Знаете, как скрестить мышь с медузой? Или, может быть, хотите научиться собирать конструктор из вируса, человека и быка? В нашем курсе мы расскажем вам о том, какие «пазлы» уже умеют складывать учёные и как трансгенные технологии влияют на нашу жизнь.

ГМО — эти три буквы держат в страхе весь мир. Сегодня больше 80% россиян боятся генетически модифицированных организмов, не подозревая о том, что их собственные организмы в своё время уже подверглись генетической модификации. На протяжении миллионов лет вирусы, первые «генные инженеры», успешно меняли геном человека, и каждый из нас на целых 8% вирус.

Из нашего курса вы узнаете, что же такое ГМО и зачем человек создал технологии трансгенеза, как работает трансгенная конструкция и какими способами её можно доставить в клетку. Мы познакомим вас с новейшими системами редактирования генома, расскажем о том, как трансгенные животные помогают исследователям в борьбе с наследственными заболеваниями и старением. Вы собственными глазами увидите светящихся рыбок и мышей и побываете в лаборатории, где из опаснейших вирусов делают безопасные для того, чтобы они служили на пользу человечеству.

Добро пожаловать на курс «ГМО: технологии создания и применение». Мы научим вас делать из мухи слона!","['Алексей Мензоров', 'Нариман Баттулин', 'Вениамин Фишман']",Russian,"['5,840 already enrolled!', '3,507 recent views']","['100% online', 'Flexible deadlines', 'Approx. 16 hours to complete', 'Russian']",5.0,60,60,[],"['Основы  генетической модификации организмов', 'Создание трансгенных организмов', 'Трансгенные животные в научных исследованиях ', 'Трансгенез с помощью вирусов']","['disease-genes', 'bilingual']",https://www.coursera.org/learn/gmo
831,831,infrastruktura-rynka,"Инфраструктура рынка, методы и технологии инвестирования","['Business', 'Finance']","Курс состоит из двух самостоятельных тем.  

В теме «Инфраструктура рынка» вы получите представление о деятельности профессиональных участников рынка ценных бумаг, единственной задачей которых является создание благоприятных условий для покупки или продажи акций различными типами инвесторов. По результатам изучения этой темы вы сможете: 
- описать деятельность фондовой биржи, на которой совершаются сделки с ценными бумагами; 
- отличать функции брокера, дилера, депозитария, расчётной (клиринговой) палаты и пользоваться ими при открытии и ведении брокерского счета; 
- понимать особенности, правила и риски и Интернет-торговли;  
- знать правила и возможности использования индивидуальных инвестиционных счетов;
- понимать назначение и виды приказов на покупку или продажу ценных бумаг, условия совершения различных сделок с акциями – маржинальных, сделок РЕПО и других.

Тема «Методы и технологии инвестирования» раскрывает перед вами особенности и инструменты краткосрочных инвестиционных стратегий. Здесь описываются различные инвестиционные стратегии, излагаются основные принципы технического анализа, даётся понятие  торговых стратегий. Вы познакомитесь с методами разработки математических моделей прогнозирования движения биржевых цен, лежащих в основе индикаторов и осцилляторов - основных инструментов принятия краткосрочных инвестиционных решений.

По итогам изучения курса вы сможете:
- владеть основными принципами технического анализа, знать его основные подходы и  инструменты;
- уметь самостоятельно выбирать индикаторы и осцилляторы при разработке и реализации торговых стратегий и создании собственных торговых систем.

ОЦЕНИВАНИЕ
Практические задания с использованием математических моделей прогнозирования цен и теоретические тесты на понимание технического анализа.

НЕОБХОДИМЫЕ ЗНАНИЯ И НАВЫКИ
Для освоения материалов курса вам понадобятся знания об основах рынка ценных бумаг, которые вы можете получить во 2 и 3 курсе нашей специализации - ""Инвестиции в облигации"" и ""Инвестиции в акции"".",['Меньшиков Сергей Михайлович'],Russian,"['4,065 already enrolled!', '2,019 recent views']","['Course 3 of 3 in the', '100% online', 'Flexible deadlines', 'Approx. 12 hours to complete', 'Russian']",0.0,0,0,[],"['Введение', 'Рыночная инфраструктура для частного инвестора', 'Механизмы торговли ценными бумагами', 'Спекулятивные инвестиционные стратегии', 'Инструментарий технического анализа для частного инвестора ']","['economy-russia-transition', 'positive-psychology-applications']",https://www.coursera.org/learn/infrastruktura-rynka
841,841,innovacionnye-proekty,Управление инновационными проектами,"['Business', 'Business Essentials']","В деятельности любой современной компании возникают проекты: коммерческие (связанные с разработкой продуктов и услуг по заказу клиента); проекты развития (связанные с модернизацией оборудования, внедрением новой техники, информационных технологий или организационными изменениями); инновационные проекты. Чтобы эффективно управлять инновационными проектами, необходимо сочетание инженерных, менеджерских и бизнес подходов.
 
Курс «Управление инновационными проектами» посвящен управлению инновациями и рассматривает ценностный подход, который был впервые внедрен в начале 21 века в работах японских специалистов. Данный подход лег в основу стандарта «Руководство по управлению инновационными проектами и программами предприятий» (P2M). В курсе подробно изложен ценностный подход к управлению проектами, когда проект рассматривается как способ максимизации ценности его продукта для потребителя. Управление ценностью требует ее постоянного контроля с использованием специальных индикаторов – все эти процессы также рассматриваются в данном курсе. В том числе, даются полезные инструменты стандарта P2М, легко реализуемые в российской бизнес-практике.

Вы узнаете про:
· модель открытых инноваций,
· руководство Осло,
· управление знаниями,
· модель конкурирующих ценностей,
· сбалансированную систему показателей,
· stage-gate модель,
· сценарное планирование,
· технологические дорожные карты,
· бюджетирование, ориентированное на результат,
· бенефит-менеджмент,
· модели оценки компетентности.

Курс разработан компанией eNANO (входит в РОСНАНО) совместно с МФТИ при экспертной поддержке компании IBS. eNANO - разработчик дистанционных образовательных курсов и программ по нанотехнологиям и технологическому предпринимательству, является оператором Межвузовской программы подготовки инженеров в сфере высоких технологий (базовая кафедра – кафедра технопредпринимательства МФТИ-РОСНАНО).",['Ципес Григорий Львович'],Russian,"['8,385 already enrolled!', '3,885 recent views']","['100% online', 'Flexible deadlines', 'Intermediate Level', 'Approx. 16 hours to complete', 'Russian']",4.5,15,15,[],"['Проекты и управление проектами в современной организации', 'Управление инновациями: модели и механизмы', 'Стратегии инноваций', 'Организационная инновация – быть или не быть?']","['3d-models-virtual-reality', '3d-interaction-design-virtual-reality']",https://www.coursera.org/learn/innovacionnye-proekty
844,844,innovations-in-industry-robotics,Инновации в промышленности: мехатроника и робототехника,"['Physical Science and Engineering', 'Mechanical Engineering']","Для инновационного развития всех сфер робототехники необходимы молодые специалисты, способные креативно мыслить, разрабатывать, проектировать, внедрять и эксплуатировать сложные системы интеллектуального управления и роботизированные комплексы.
Курс ""Инновации в промышленности: мехатроника и робототехника"" рассчитан на студентов технических специальностей, а также тех, кто интересуется робототехникой.
Мехатроника и робототехника охватывает очень широкий круг вопросов, и одному человеку трудно охватить и глубоко изучить все области исследования роботов. Данный курс поможет слушателям сориентироваться и выбрать для дальнейшей своей работы конкретное направление:
изучение структуры и кинематики роботов, приводы роботов, управление и программирование, организация современного высокоэффективного роботизированного производства, применение систем автоматизированного проектирования изготовления деталей на станках с ЧПУ и технологической подготовки производства и др.

Слушатели должны иметь знания по физике и математике в объеме школьной программы.
Умение ориентироваться в математических и физических терминах, умение читать формулы, знание базовых физических единиц и их обозначений, понимание основ механики поможет слушателям успешно пройти данный курс.

Курс состоит из 6 модулей. Каждая модуль курса содержит видеолекции, в конце каждой лекции – тестовые вопросы для самопроверки своих знаний.
Каждый модуль заканчивается выполнением тестового задания из 10 вопросов. Это задание является важным для прохождения курса. Слушателю необходимо правильно ответить не менее чем на 7 из 10 вопросов. Сертификат получают слушатели, набравшие от 70 % и выше от максимально возможного количества баллов (100 %) за весь курс. При этом итоговый результат складывается из результатов тестовых заданий по всем модулям.

Сертификат о прохождении данного курса дает дополнительные баллы при поступлении в магистратуру Национального исследовательского Томского государственного университета. Перечень магистерских программ находится по ссылке: https://pro-online.tsu.ru/edu/student/table.php

The course ""Innovations in industry: mechatronics and robotics"" may be interesting for students of engineering specialties who will learn to apply their knowledge in a new area. 
Mechatronics and Robotics covers a wide range of issues, and it is difficult for one person to reach deep and explore all areas of robot research. This course will help students to navigate and choose the specific direction for their further work:
the structure and kinematics of robots, robot actuators, control and programming, the organization of modern highly robotized production, the use of CAD/CAM systems, manufacturing of parts on CNC machines and technological preparation of production.","['Михаил Владимирович Горбенко (Mikhail V. Gorbenko)', 'Татьяна Ивановна Горбенко (Tatiana I. Gorbenko) ']",Russian,"['3,759 already enrolled!', '2,987 recent views']","['100% online', 'Flexible deadlines', 'Approx. 10 hours to complete', 'Russian']",4.5,14,14,[],"['Добро пожаловать на курс «Инновации в промышленности: мехатроника и робототехника»', 'Модуль 1', 'Модуль 2', 'Модуль 3', 'Модуль 4']","['robotics-mobility', 'robotics-motion-planning']",https://www.coursera.org/learn/innovations-in-industry-robotics
847,847,institutional-economics,Институциональная экономика (Institutional economics),"['Social Sciences', 'Economics']","Этот курс – первый шаг к пониманию институтов и их роли в экономике и обществе, первый взгляд на богатую идеями и результатами область экономического анализа, которую мы называем институциональной экономикой. Мы покажем, что в мире, где осуществление трансакций связано с издержками, а люди склонны к оппортунизму, необходимо создавать правила и следить за соблюдением этих правил. Такие правила, дополненные механизмами принуждения к следованию правилам, мы и будем называть институтами. 
Основная задача курса состоит в том, чтобы показать, как институты работают в различных сферах, и что происходит, если институты являются слабыми или неэффективными. Мы поговорим об институте прав собственности и о контрактах, будем приводить исторические примеры и разбирать современные кейсы, покажем, что институты важны для процветания целых стран, но в то же время необходимы для осуществления даже самых простых трансакций между двумя их гражданами. И это всего лишь неполный перечень вопросов, на которые мы ответим в течение курса.",['Maria Yudkevich'],Russian,"['6,219 already enrolled!', '13,858 recent views']","['100% online', 'Flexible deadlines', 'Beginner Level', 'Approx. 13 hours to complete', 'Russian']",0.0,0,0,[],"['Вводный', 'Экономические институты', 'Права собственности, издержки их спецификации и защиты', 'Режимы прав собственности', 'Трансакционные издержки']","['block-programming-k12-educators-nested-if-statement-compound-conditionals', 'block-programming-k12-educators-abstraction-methods']",https://www.coursera.org/learn/institutional-economics
909,909,investicii-akcii,Инвестиции в акции,"['Business', 'Finance']","Курс раскрывает секреты инвестирования на рынке акций с позиции частного (миноритарного) инвестора. Слушатель курса погружается в сопоставление акций по инвестиционной привлекательности, в особенности работы финансовых аналитиков (брокерских и инвестиционных компаний), в интересный мир построения инвестиционных стратегий на базе фундаментального анализа.

Вы освоите профессиональную терминологию финансовых аналитиков и консультантов, поймете, как выставляются рекомендации «купить», «продать», «держать», почему отчеты аналитиков могут вводить в заблуждение.

В результате прохождения курса вы 
- получите навыки самостоятельного принятия  среднесрочных инвестиционных  решений на базе общедоступной информации на рынке;
- научитесь ранжировать акции по инвестиционной привлекательности и выбирать для себя адекватную инвестиционную стратегию (на базе расчета дивидендной и общей доходности (TSR) инвестирования в акции, общего риска, как стандартного отклонения доходности по акции и  изучения финансовой и нефинансовой информации по компании, ликвидности ее акций;
- поймете значимость учета  качества корпоративного управления и странового риска;
- сумеете правильно воспользоваться фундаментальным анализом с учетом специфики функционирования российского фондового рынка, налоговой нагрузки на инвестора, биржевых (транзакционных) издержек.",['Теплова Тамара Викторовна'],Russian,"['7,777 already enrolled!', '9,078 recent views']","['Course 1 of 3 in the', '100% online', 'Flexible deadlines', 'Approx. 31 hours to complete', 'Russian']",0.0,0,0,[],"['Введение', 'Рынок акций: оцениваем выгоды и доходность.', 'Что лежит в основе принятия инвестиционных решений на рынке акций.', 'Поиск относительно дешевых акций.', 'Особенности инвестирования на развивающихся рынках капитала.']","['economy-russia-transition', 'positive-psychology-applications']",https://www.coursera.org/learn/investicii-akcii
910,910,investicii-obligacii,Инвестиции в облигации,"['Business', 'Finance']","Рынок облигаций представляется частному инвестору сложным и запутанным. На нем торгуется огромное количество инструментов, которые сначала кажутся непонятными. Тем не менее, этот рынок дает огромные возможности инвестору как для диверсификации вложений и гарантирования дохода, когда на рынке нет достойных инвестиционных идей, так и для получения спекулятивного дохода.

ЦЕЛЬ - получение знаний об облигационном рынке и приобретение навыков расчета доходности и оценки рисков инвестиций в различные долговые инструменты. 

После изучения курса вы сможете: 
- самостоятельно находить необходимую информацию для расчета потенциального дохода и рисков предполагаемой операции, 
- сравнивать выгоду от покупки различных долговых финансовых инструментов и 
- выбирать для инвестиций наиболее подходящий вариант, основываясь на достоверных расчетах. 

Кроме инструментария и методологии для успешного старта инвестиционной деятельности курс содержит ряд практических примеров, которые позволят вам ознакомиться с рынком облигаций в реальности.

Вы получите возможность понять механизм ценообразования на рынке облигаций, узнаете, как можно зарабатывать на этом рынке, ориентируясь на консервативную или спекулятивную стратегию в зависимости от своих собственных предпочтений. 

Большой и сложный рынок облигаций станет вам понятным!",['Столяров Андрей Иванович'],Russian,"['7,665 already enrolled!', '10,767 recent views']","['Course 1 of 1 in the', '100% online', 'Flexible deadlines', 'Approx. 21 hours to complete', 'Russian']",0.0,0,0,[],"['Введение', 'Облигация как инструмент инвестирования.  Виды облигаций', 'Ценообразование облигаций', 'Облигации как инструмент инвестирования', 'Риски инвестирования в облигации. Стратегии инвестирования в облигации', 'Итоговые задания']","['economy-russia-transition', 'positive-psychology-applications']",https://www.coursera.org/learn/investicii-obligacii
