,course_id,title,instructors,key_words,course_descr
10,academicinfoseek,Academic Information Seeking,Birgitte Munk Thomas Skov Jensen ,Personal Development Personal Development ,"This course will introduce you to the basic elements of academic information seeking - we will explore the search process from defining a strategy to evaluating and documenting your search results. 

Attending the course will make you a proficient information seeker. You will learn how to carry out comprehensive literature searches based on your own research assignment. You will be guided through the various information seeking steps from selecting relevant search strategies and techniques to evaluating your search results, documenting your search process and citing your sources. 

Attending the course will enable you to:
•	Identify your information need
•	Evaluate databases and other information resources
•	Set up search strategies and use various search techniques
•	Formulate search strings based on your own research assignment 
•	Identify relevant material types
•	Undertake critical evaluation of your sources
•	Search more efficiently on the internet
•	Avoid plagiarism
•	Cite correctly
•	Work with reference management
•	Document your search process

The course is intended for undergraduate students but the lessons will be useful to anyone who is interested in becoming better at finding scientific information. There are no formal requirements for the course.

The series consists of 21 lectures that are organized into three modules. The lectures include small assignments and quizzes (to check comprehension).
The lectures will each touch upon a topic that is essential to the information seeking process. To get the most out of the lecture series, we recommend that you access the lectures while you are working on an academic paper. We also recommend that you watch the lectures in the order in which we have structured them.
We recommend that you create and fill out a log book while attending the lectures. We have created a log book template that you can use during the course. 

The lecture series has been developed in collaboration between information specialists at University of Copenhagen and Technical University of Denmark Preparing your search process Performing your searches Evaluating your search results"
11,accounting-analytics,Accounting Analytics,Brian J Bushee Christopher D. Ittner,Business Finance Accounting Analytics Earnings Management Finance,"Accounting Analytics explores how financial statement data and non-financial metrics can be linked to financial performance.  In this course, taught by Wharton’s acclaimed accounting professors, you’ll learn how data is used to assess what drives financial performance and to forecast future financial scenarios. While many accounting and financial organizations deliver data, accounting analytics deploys that data to deliver insight, and this course will explore the many areas in which accounting data provides insight into other business areas including consumer behavior predictions, corporate strategy, risk management, optimization, and more. By the end of this course, you’ll understand how financial data and non-financial data interact to forecast events, optimize operations, and determine strategy. This course has been designed to help you make better business decisions about the emerging roles of accounting analytics, so that you can apply what you’ve learned to make your own business decisions and create strategy using financial data.  Ratios and Forecasting Earnings Management Big Data and Prediction Models Linking Non-financial Metrics to Financial Performance"
12,accounting-finance,Accounting and Finance for IT professionals,Ramabhadran Thirumalai,Business Finance ,"This course presents an introduction to the basics of financial accounting and finance for IT professionals. The first part of the course will focus on understanding the most important financial statements, namely, the balance sheet, the income statement, and the statement of cash flows. We will then focus on how we can understand the financial health and performance of the company by examining a number of important financial ratios that are derived from the financial statements of the company. The second part of the course will focus on the basics of finance. This includes the concept of time value of money, discounting cash flows, and capital budgeting. The course will also introduce the idea of real options, how they affect a project’s NPV, and their impact of the decision to accept/reject a project. Lectures on concepts will be supplemented with numerical examples.  Basics of Financial Statements  Financial Statement Analysis Time Value of Money Capital Budgeting"
13,accounting-for-managers,"Managerial Accounting: Cost Behaviors, Systems, and Analysis",Gary Hecht Ph.D.,Business Finance Management Accounting Cost Accounting Activity Based Costing Cost,"In this course, you will learn how to use accounting to facilitate and align decisions made by owners, managers, and employees. You will learn how accountants create, organize, interpret, and communicate information that improves internal processes, and allows organizations to identify and leverage opportunities to create value within the supply chain and with customers. 

Upon successful completion of this course, you will be able to:
•	Understand what managerial accounting is and why it is important. 
•	Describe fundamental concepts of managerial accounting. 
•	Apply the financial perspective of accounting for costs.
•	Identify problems associated with relying on financial accounting information for internal decision making. 
•	Organize cost information according to the decision-making needs of the organization.
•	Apply activity-based costing (ABC) and recognize the influence of setting and decision characteristics on the relevance of ABC systems.
•	Address common ""what-if"" questions using cost-volume-profit (CVP) analysis. 
•	Apply CVP analysis in a variety of scenarios.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu. Course Overview and Introduction to Managerial Accounting Costing Systems I - Elements and Design Costing Systems II - Activity-Based Costing Cost-Volume-Profit (CVP) Analysis"
14,activism-social-movements,ART of the MOOC: Activism and Social Movements,Nato Thompson Pedro Lasch,Arts and Humanities Music and Art ,"This course is for activists, artists, and thinkers who wish to better understand and participate in social change. We will focus on the prolific and exciting overlap between socially engaged art and cultural practices generated by recent social movements around the world. Rather than assess the political efficacy of activities like mourning, listening, organizing, dancing, or partying, the lectures examine such cultural activities next to, and within, contemporary art practice. 

Included in the course are guest presentations by key artists, activists, and scholars, like: Rebecca Gomperts, Chido Govera, Gulf Labor, Hans Haacke, Sharon Hayes, Jolene Rickard, Gregory Sholette, Joshua Wong, and many more. Designed by artist and Duke professor, Pedro Lasch and co-taught by Creative Time artistic director, Nato Thompson, the course challenges learners to treat the MOOC itself as a social and artistic form. This happens mostly through the practical components, local project productions, global exchanges, and critical feedback.

While no prior art making or activist experience is required, projects also offer challenging options for advanced learners.

For other course offerings or language versions in this series, just search 'ART of the MOOC' inside the Coursera course catalogue. Introduction to Activism and Social Movements Activism and Social Movements:  Lectures Guest Presentations and Quiz  Activism and Social Movements: Project and Peer Review Aesthetics Art History and Cultural Institutions - Lectures Guest Presentations and Quiz "
15,addiction-and-the-brain,The Addicted Brain,Michael Kuhar Ph.D.,Health Basic Science Prevention Programs Addiction Treatment Brain Drug And Alcohol Abuse Treatment,This is a course about addiction to drugs and other behaviors. It will describe what happens in the brain and how this information helps us deal with and overcome addiction. It will also discuss other topics such as government policy and our vulnerability to take drugs. The Background & Overview of Drug Use Drugs & How the Brain Works Classes of Drugs Classes of Drugs with Animal Models
16,adhd-treatment,ADHD: Everyday Strategies for Elementary Students,Greg Fabiano,Social Sciences Education Teaching Communication Planning Attention Deficit Hyperactivity Disorder (ADHD),"This course will provide an overview of ADHD diagnosis and treatment. Course participants can expect to learn about ADHD as a developmental disorder that begins early in childhood, and participants will also learn about evidence-based approaches for diagnosing ADHD. Following that, two evidence-based treatment approaches (the Daily Report Card and Parenting Strategies) will be introduced. (Note these course activities are informational and are not intended to replace working with a licensed/trained professional). 

Learning Objectives: Students will be able to identify the behaviors characteristic of ADHD, the components of a diagnosis, and evidence-based treatment procedures that can be used in the school or home. 
1. Identify the key areas of functional impairment, symptom presentation, and diagnostic decision-making for youth with ADHD.  
2. Develop a behavioral intervention suitable for treating ADHD in the school setting. 
3. Apply effective parenting and teaching strategies for supporting youth with ADHD in the home, classroom, and neighborhood. What is ADHD?  Methods of assessment for screening School-based treatment approaches and the Daily Report Card (DRC) Parenting strategies "
17,adjective-clauses,Adjectives and Adjective Clauses,Tamy Chapman Judy Hu Brad Gilpin,Language Learning Learning English Apposition Grammar English Language Adjective,"Being able to adeptly use adjective clauses in speaking and writing is useful for upper level English learners. Adjectives and adjective clauses are very common in English, so students need to be able to understand them when they see them or hear them. Students often struggle to bring complexity to their speaking and writing and adjective clauses can be a great way to do this.

Please note that all of the lectures and practice activities are available for free, but taking the quizzes and getting feedback on assignments are only available in the paid version Welcome Adjectives and Adjective Phrases Adjective Clauses More Adjective Clauses Reduced Adjective Clauses and Appositives"
18,advanced-algorithms-and-complexity,Advanced Algorithms and Complexity,Alexander S. Kulikov Michael Levin Daniel M Kane Neil Rhodes,Computer Science Algorithms Python Programming Linear Programming (LP) Np-Completeness Dynamic Programming,"You've learned the basic algorithms now and are ready to step into the area of more complex problems and algorithms to solve them. Advanced algorithms build upon basic ones and use new ideas. We will start with networks flows which are used in more typical applications such as optimal matchings, finding disjoint paths and flight scheduling as well as more surprising ones like image segmentation in computer vision. We then proceed to linear programming with applications in optimizing budget allocation, portfolio optimization, finding the cheapest diet satisfying all requirements and many others. Next we discuss inherently hard problems for which no exact good solutions are known (and not likely to be found) and how to solve them in practice. We finish with a soft introduction to streaming algorithms that are heavily used in Big Data processing. Such algorithms are usually designed to be able to process huge datasets without being able even to store a dataset. Flows in Networks Linear Programming NP-complete Problems Coping with NP-completeness"
19,advanced-chemistry,Advanced Chemistry,Dr. Allison Soult Dr. Kim Woodrum,Physical Science and Engineering Chemistry ,"A chemistry course to cover selected topics covered in advanced high school chemistry courses, correlating to the standard topics as established by the American Chemical Society.

Prerequisites: Students should have a background in basic chemistry including nomenclature, reactions, stoichiometry, molarity and thermochemistry. Kinetics Chemical Equilibrium Acid-Base Equilibria Aqueous Equilibria"
20,advanced-competitive-strategy,Advanced Competitive Strategy,Tobias Kretschmer,Business Business Strategy Pricing Strategic Management Marketing Competitiveness,"Advanced Competitive Strategy will introduce new topics and modules with even more real world examples and opportunities for student interaction than in the previous course Competitive Strategy (https://www.coursera.org/learn/competitivestrategy).
 
In Advanced Competitive Strategy, we will look at how companies can build up and maintain their customer base by increasing switching costs and facilitating strategic customer lock-ins. We will find out how firms can increase their profits by pursuing suitable price discrimination and product differentiation strategies.
 
We will look at examples of what is acceptable behavior under the premises of EU competition and US antitrust policies and discover exciting ways of how companies can increase their returns by strategically making use of network effects and economies of size. We will further intensify our newly acquired knowledge about network effects and discuss strategies that are explicitly tailored to network markets.
 
We will analyze the workings of mergers and acquisitions and, moreover, support you in considering alternative strategies that can help companies grow organically. Maintaining your Customer Base Determine your Prices Wisely Keep Your Business Clean Increase your Returns"
21,advanced-data-structures,Advanced Data Structures in Java,Leo Porter Mia Minnes Christine Alvarado,Computer Science Algorithms Graphs Search Algorithm Graph Algorithms Graph Data Structures,"How does Google Maps plan the best route for getting around town given current traffic conditions?  How does an internet router forward packets of network traffic to minimize delay?  How does an aid group allocate resources to its affiliated local partners?

To solve such problems, we first represent the key pieces of data in a complex data structure. In this course, you’ll learn about data structures, like graphs, that are fundamental for working with structured real world data.  You will develop, implement, and analyze algorithms for working with this data to solve real world problems.   In addition, as the programs you develop in this course become more complex, we’ll examine what makes for good code and class hierarchy design so that you can not only write correct code, but also share it with other people and maintain it in the future.

The backbone project in this course will be a route planning application.  You will apply the concepts from each Module directly to building an application that allows an autonomous agent (or a human driver!) to navigate its environment.  And as usual we have our different video series to help tie the content back to its importance in the real world and to provide tiered levels of support to meet your personal needs. Introduction to the Course Introduction to Graphs Class design and simple graph search Finding shortest paths in weighted graphs"
22,advanced-excel,Data Visualization with Advanced Excel,Alex Mannella,Data Science Data Analysis Dashboard (Business) Microsoft Excel Data Virtualization Data Visualization (DataViz),"In this course, you will get hands-on instruction of advanced Excel 2013 functions.  You’ll learn to use PowerPivot to build databases and data models.  We’ll show you how to perform different types of scenario and simulation analysis and you’ll have an opportunity to practice these skills by leveraging some of Excel's built in tools including, solver, data tables, scenario manager and goal seek.  In the second half of the course, will cover how to visualize data, tell a story and explore data by reviewing core principles of data visualization and dashboarding.  You’ll use Excel to build complex graphs and Power View reports and then start to combine them into dynamic dashboards.

Note: Learners will need PowerPivot to complete some of the exercises. Please use MS Excel 2013 version. If you have other MS Excel versions or a MAC you might not be able to complete all assignments.

This course was created by PricewaterhouseCoopers LLP with an address at 300 Madison Avenue, New York, New York, 10017. Preparing a Professional Excel  Advanced Scenario Analysis  Data Visualization Dashboarding "
23,advanced-manufacturing-enterprise,Advanced Manufacturing Enterprise,Sara Behdad,Physical Science and Engineering Mechanical Engineering ,"Enterprises that seek to become proficient in advanced manufacturing must incorporate manufacturing management tools and integrate data throughout the supply chain to be successful. This course will make students aware of what a digitally connected enterprise is, as they learn about the operational complexity of enterprises, business process optimization and the concept of an integrated product-process-value chain. 

Students will become acquainted with the available tools, technologies and techniques for aggregation and integration of data throughout the manufacturing supply chain and entire product life-cycle. They will receive foundational knowledge to assist in efforts to facilitate design, planning, and production scheduling of goods and services by applying product life cycle data.  

Main concepts of this course will be delivered through lectures, readings, discussions and various videos. 

This is the sixth course in the Digital Manufacturing & Design Technology specialization that explores the many facets of manufacturing’s “Fourth Revolution,”  aka Industry 4.0, and features a culminating project involving creation of a roadmap to achieve a self-established DMD-related professional goal.

To learn more about the Digital Manufacturing and Design Technology specialization, please watch the overview video by copying and pasting the following link into your web browser: https://youtu.be/wETK1O9c-CA The Concept of a Connected and Collaborative Enterprise  How to Build a Digitally Connected Enterprise Introduction to a Set of Supply Chain Management Tools & Integrated Capabilities Ensure a Robust Infrastructure "
24,advanced-manufacturing-process-analysis,Advanced Manufacturing Process Analysis,Rahul Rai,Physical Science and Engineering Mechanical Engineering ,"Variability is a fact of life in manufacturing environments, impacting product quality and yield. Through this course, students will learn why performing advanced analysis of manufacturing processes is integral for diagnosing and correcting operational flaws in order to improve yields and reduce costs.   

Gain insights into the best ways to collect, prepare and analyze data, as well as computational platforms that can be leveraged to collect and process data over sustained periods of time. Become better prepared to participate as a member of an advanced analysis team and share valuable inputs on effective implementation.    

Main concepts of this course will be delivered through lectures, readings, discussions and various videos. 

This is the fourth course in the Digital Manufacturing & Design Technology specialization that explores the many facets of manufacturing’s “Fourth Revolution,”  aka Industry 4.0, and features a culminating project involving creation of a roadmap to achieve a self-established DMD-related professional goal.

To learn more about the Digital Manufacturing and Design Technology specialization, please watch the overview video by copying and pasting the following link into your web browser: https://youtu.be/wETK1O9c-CA Introduction to Advanced Manufacturing Process Analysis Data Collection Data Analysis: Computational Techniques and Platforms"
25,advanced-modeling,Advanced Modeling for Discrete Optimization,Prof. Jimmy Ho Man Lee Prof. Peter James Stuckey,Computer Science Software Development ,"Optimization is a common form of decision making, and is ubiquitous in our society. Its applications range from solving Sudoku puzzles to arranging seating in a wedding banquet.  The same technology can schedule planes and their crews, coordinate the production of steel, and organize the transportation of iron ore from the mines to the ports. Good decisions in manpower and material resources management also allow corporations to improve profit by millions of dollars.  Similar problems also underpin much of our daily lives and are part of determining daily delivery routes for packages, making school timetables, and delivering power to our homes. Despite their fundamental importance, all of these problems are a nightmare to solve using traditional undergraduate computer science methods.

This course is intended for students who have completed Basic Modelling for Discrete Optimization. In this course you will learn much more about solving challenging discrete optimization problems by stating the problem in a state-of-the-art high level modeling language, and letting library constraint solving software do the rest.  This course will focus on debugging and improving models, encapsulating parts of models in predicates, and tackling advanced scheduling and packing problems. As you master this advanced technology, you will be able to tackle problems that were inconceivable to solve previously.

Watch the course promotional video here: https://www.youtube.com/watch?v=hc3cBvtrem0&t=8s Debugging and Improving Models Predicates Scheduling Packing"
26,advanced-neurobiology1,Advanced Neurobiology I,Yan Zhang Yulong Li,Health Basic Science ,"Hello everyone! Welcome to advanced neurobiology!

Neuroscience is a wonderful branch of science on how our brain perceives the external world, how our brain thinks, how our brain responds to the outside of the world, and how during disease or aging the neuronal connections deteriorate. We’re trying to understand the molecular, cellular nature and the circuitry arrangement of how nervous system works.

Through this course, you'll have a comprehensive understanding of basic neuroanatomy, electral signal transduction, movement and several diseases in the nervous system. 

This advanced neurobiology course is composed of 2 parts (Advanced neurobiology I and Advanced neurobiology II, and the latter will be online later). They are related to each other on the content but separate on scoring and certification, so you can choose either or both. It’s recommended that you take them sequentially and it’s great if you’ve already acquired a basic understanding of biology.

Thank you for joining us! Anatomy of the Nervous System Morphology of the neuronal cell & Cellular and Molecular Biology of the Neuron Cellular and Molecular Biology of the Neuron Signaling within neurons & Ion channels and membrane potentials"
27,advanced-r,Advanced R Programming,Roger D. Peng PhD Brooke Anderson,Data Science Data Analysis Logic Programming R Programming Object-Oriented Programming (OOP) Functional Programming,"This course covers advanced topics in R programming that are necessary for developing powerful, robust, and reusable data science tools. Topics covered include functional programming in R, robust error handling, object oriented programming, profiling and benchmarking, debugging, and proper design of functions. Upon completing this course you will be able to identify and abstract common data analysis tasks and to encapsulate them in user-facing functions. Because every data science environment encounters unique data challenges, there is always a need to develop custom software specific to your organization’s mission. You will also be able to define new data types in R and to develop a universe of functionality specific to those data types to enable cleaner execution of data science tasks and stronger reusability within a team. Welcome to Advanced R Programming Functions Functions: Lesson Choices Functional Programming Functional Programming: Lesson Choices Debugging and Profiling Object-Oriented Programming"
28,advanced-trading-algorithms,Advanced Trading Algorithms,Prasanna Tantri,Business Finance ,"This course will provide back test results for all the strategies in developed and emerging markets. The learner will also be taught scientific ways of back testing without succumbing to either look ahead (or) survival bias.

You will learn various methods of building a robust back testing system for the strategies discussed in the previous course. You will be taught how to differentiate between mere data mining and results based on solid empirical or theoretical foundation. Next, you will learn the ways and means of back testing the results and subjecting the back test results to stress tests. After which, you will learn the various ways in which transaction costs and other frictions could be incorporated in the back testing algorithm. Finally, you will learn techniques for measuring a strategies' performance and the concept of risk adjusted return. You will use some of the famous measures for risk adjusted returns such as Sharpe ratio, Treynor's Ratio and Jenson's Alpha. You will see how to pick an appropriate benchmark for a proposed fund. Strategy - Accruals Strategy - Betting against Beta Strategy - Momentum & Momentum Crashes Strategy - G Score"
29,advanced-writing,Advanced Writing,Tamy Chapman Helen Nam Brad Gilpin,Language Learning Learning English Essay Writing Academic Writing Creative Writing Writing,"Course 3: Advanced Writing

This is the third course in the Academic English: Writing specialization.  By raising your level of academic writing, this course helps prepare you for college-level work.

After completing this course, you will be able to: 
 - plan and write a more sophisticated argument essay
 - identify plagiarism and explain how to prevent it
 - read and analyze several articles to form your own opinion on a topic
 - make connections between several articles
 - form thesis statements from your readings
 - use sources effectively when writing an essay

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version. Course Introduction Advanced Argument Essays Avoiding Plagiarism Synthesis Essay"
30,advancedneurobiologyii,Advanced Neurobiology II,Chenjian Li Donggen Luo Yan Zhang,Health Basic Science ,"Hello everyone! Welcome to advanced neurobiology!

Neuroscience is a wonderful branch of science on how our brain perceives the external world, how our brain thinks, how our brain responds to the outside of the world, and how during disease or aging the neuronal connections deteriorate. We’re trying to understand the molecular, cellular nature and the circuitry arrangement of how nervous system works.

Through this course, you'll have a comprehensive understanding of basic neuroanatomy, electral signal transduction, movement and several diseases in the nervous system.

This advanced neurobiology course is composed of 2 parts (Advanced neurobiology I and Advanced neurobiology Il). They are related to each other on the content but not on scoring or certification, so you can choose either or both. It’s recommended that you take them sequentially and it’s great if you’ve already acquired a basic understanding of biology.

Thank you for joining us! Perception: Vision Perception: Auditory Chemosensory system Touch and pain & Sleep amd arousal"
31,ageing,Rethinking Ageing:  Are we prepared to live longer?,Rob Moodie Simon Biggs Rebecca Kippen Louisa Remedios Debra Virtue Eleanor Curran Fernando Sanchez Alan Pert Clare Newton Jack Barton Ian McDonald Briony Dow Dominique Martin Tara Sklar,Health Public Health ,"Population ageing is occurring in nearly every country around the world. This MOOC takes a multidisciplinary approach to explore the impact of living longer and takes into account the technological advancements, the built environment, economics and ethics to rethink what it means to 'age well' now and in the future.

Rethinking Ageing is a uniquely designed course to give you a broad overview of the many complex issues involved as we as individuals get older and on the macro-level for population ageing. You may already have a particular interest in one discipline, such as mental health and ageing or age-friendly design. We encourage you, though, to use this course to explore the other perspectives on population ageing as the modules build on each other.

View the MOOC promotional video here: http://tinyurl.com/j7lz8q8 Worldwide population ageing trends Lifelong participation Planning and design for an ageing population Economics of ageing"
32,ageofjefferson,Age of Jefferson,Professor Peter S. Onuf,Arts and Humanities History ,"This course provides an overview of Thomas Jefferson's work and perspectives presented by the University of Virginia in partnership with Thomas Jefferson’s Monticello. Together, UVA and Monticello are recognized internationally as a UNESCO World Heritage Site. Thomas Jefferson American Icon Jefferson’s Declaration of Independence Jefferson and Slavery Jefferson and Religion"
33,agile-planning-for-software-products,Agile Planning for Software Products,Kenny Wong,Computer Science Software Development Software Development Agile Management Program Evaluation And Review Technique (PERT) Agile Software Development,"This course covers the techniques required to break down and map requirements into plans that will ultimately drive software production.

Upon successful completion of this course, you will be able to:

- Create effective plans for software development
- Map user requirements to developer tasks
- Assess and plan for project risks
- Apply velocity-driven planning techniques
- Generate work estimates for software products Module 1: Introduction to Planning Module 2: Project Planning Module 3: Iteration Planning Module 4: Risk Planning"
